,S. No. ,Entry
,211,"Space News(3/13, Brinton, subscription required) reported, ""Spacecraft engineering firm Microcosm Inc. for the past year has been designing an imaging satellite for the U.S. Army that it says could eventually be bulk bought for about $1 million a copy."" Microcosm was awarded a grant last year to develop the NanoEye satellite. ""The low prices envisioned for the satellites are enabled by standardized Cubesat technologies, a low-cost payload, and the willingness of the Army to allow  a new way of doing business, "" according to Microcosm VP Richard Van Allen. The company is also designing a ""new small-satellite launch vehicle, the Scorpius Mini-Sprite. ""The company estimates it needs about $15 million and 20 months to develop and validate the Scorpius Mini-Sprite."""
,212,"Computerworld Australia (2/28, Lohman) reported, ""A project to enable satellite-based broadband communications technology for use in the Antarctic is one of four projects to win the first round of $10 million in funding under the Australian Space Research Program (ASRP)."" Another project, which will be conducted by a consortium of several universities, ""provides the first phase of a stepping-stone-based roadmap to develop a scramjet-based access-to-space industry."" According to the article, the ASRP ""is part of the government s $1.1 billion Super Science Initiative, which aims to support projects that build on Australia s research strengths."""
,213,"Computerworld Australia (2/28, Lohman) reported, ""A project to enable satellite-based broadband communications technology for use in the Antarctic is one of four projects to win the first round of $10 million in funding under the Australian Space Research Program (ASRP)."" Another project, which will be conducted by a consortium of several universities, ""provides the first phase of a stepping-stone-based roadmap to develop a scramjet-based access-to-space industry."" According to the article, the ASRP ""is part of the government s $1.1 billion Super Science Initiative, which aims to support projects that build on Australia s research strengths."""
,214,"Space News (2/22, Werner, subscription required) reported that with the new NASA budget recommending a replacement for the Orbiting Carbon Observatory (OCO) satellite, ""the OCO team already is drafting plans to identify long-lead items and purchase as many of those items as possible with $50 million appropriated for the new OCO program by Congress in the 2010 budget."" The team, led by David Crisp of the Jet Propulsion Laboratory, would like to launch the OCO-2 by 2013. JPL would build the OCO-2 s instruments, instead of the original designer Hamilton Sundstrand Sensor Systems, which ""would play a much smaller role but would still be involved."" However, it has not been determined if the same Taurus XL rocket will be used, which caused the loss of the OCO."
,215,"USA Today (2/10, Dean) reports, ""Like a local meteorologist, a NASA satellite set to launch this morning from Cape Canaveral Air Force Station hopes to deliver the solar system s weather report."" Assuming good weather, the Solar Dynamics Observatory mission will launch Wednesday morning, ""the first mission of NASA s Living with a Star program established in 2001. Over at least five years, the $850 million mission promises to provide the most detailed look yet at the sun, inside and out."" Program scientist Madhulika Guhathakurta said it was ""crucial"" to understand the sun because it can disrupt technology the world depends on. The article notes, ""Better forecasts of solar events would give technology operators time to take pre-emptive steps, such as adjusting power transmission lines to prevent cascading failures."""
,216,"Spaceflight Now (1/7, Clark) reported, ""A team of industrial and military engineers have designed a fix to the issue grounding the new Minotaur 4 rocket, but an $800 million space tracking satellite waiting for launch could be shuffled behind other payloads in the Air Force manifest."" The issue being dealt with involves exhaust coming from the rocket s third stage that an Air Force Space and Missile Systems Center spokesperson said could ""cause issues in flight."" Because of manifest issues caused by this problem, the ""first Minotaur 4 mission may now fly from Kodiak Island, Alaska, with a cache of small military, NASA and university satellites managed by the Air Force s Space Test Program"" currently scheduled for May 28. ""An SMC spokesperson said the launch manifest scenarios are still being finalized."""
,217,"Aviation Week (1/3, Butler) reported, ""The US government is embarking on an comprehensive, 20-year program worth as much as $700 million per year to procure commercial satellite bandwidth and services to support the Defense Dept. and state and local agencies."" This is the Future Comsatcom Services Acquisition (FCSA) program that will merge the needs of these groups for a potential ""15-20% in savings."" According to the article, FCSA is ""not a replacement"" for the terminated Transformational Satellite (TSAT) system, ""but the access it will provide to bandwidth will relieve some of the burden left after the program s termination."" A request for proposals is expected to be issued this February. Defense Information Systems Agency program executive officer Bruce Bennett ""says the goal now is to protect the signals traveling to and from the satellite as opposed to physical protection of the satellites."""
,218,"Bloomberg News (12/29, Capacci) reported Boeing ""may lose as much as $271 million in government payments for satellite launch services if Pentagon auditors conclude it violated federal accounting rules, according to officials and documents."" Auditors are reviewing whether Boeing ""improperly billed"" the Air Force for Delta IV rocket launches between 1998 and 2006. ""The Pentagon auditing agency began its new review of the Delta IV costs in September after the Defense Department s inspector general concluded that a May 2006 audit approving the billing was  flawed  and  cannot be relied upon. """
,219,"Spaceflight Now(12/21, Clark) reported the ESA has awarded Astrium a $200 million contract to develop a new upper stage of the Ariane 5 rocket over the next two years. Officials predict the new engine could be in service by 2017. ""The upper stage will be powered by a new Vinci engine capable of restarting several times to optimize communications satellite launches to geosynchronous transfer orbit."" The article note the new engine ""could also allow the Ariane 5 to deliver cargo directly into geosynchronous orbit, reducing the fuel needed by satellites and extending their useful lives."" At the ESA Ministerial Council next year, ESA officials ""could decide whether to upgrade the Ariane 5 or focus on development of new vehicle, called the Next-Generation Launcher."""
,220,"Spaceflight Now(12/14, Clark) reports, ""The Senate passed an $18.7 billion budget for NASA on Sunday, sending to the White House a bill asserting new congressional oversight of the embattled Constellation moon program and funding a replacement climate satellite."" The Senate bill has a provision ""shielding"" Constellation from cancellation without Congressional approval while matching the President s budget request. ""The 2010 budget bill provides a increase of $942 million over NASA s 2009 funding level,"" which the President is seen as ""likely"" to sign this week. ""Congress also set aside at least $50 million to start a new project to replace the Orbiting Carbon Observatory."" CQ Weekly (12/14, pg 2889, Perine) also covered the story."
,221,"Space News (12/7, Brinton, subscription required) reports that DARPA ""awarded Orbital Sciences Corp. a sole-source contract worth $74.6 million to continue developing a distributed, or fractionated, satellite architecture."" DARPA justified the single source contract by writing that ""Orbital is the only company with the requisite capabilities, facilities and experience to do the job, and choosing a new contractor would require at least $10 million to duplicate work that Orbital has already done."""
,222,"AFP (11/2, Hood) reports, ""A 315-million-€satellite that will gauge the impact of climate change on the movement of water across land, air and sea was hoisted into space early Monday, the European Space Agency (ESA) said."" A Russian Rockot launched the Soil Moisture and Ocean Salinity (SMOS), which according to AFP will supply the ""first space-based measures"" of soil moisture and ocean salinity. This information will ""fill important gaps"" in the water cycle. SMOS will spend the next three years taking measurements. Meanwhile, the Proba-2 spacecraft was also launched. This spacecraft will ""demonstrate innovative in-orbit technologies"" and conduct solar observation and space weather experiments."
,223,"Flight International(10/23, Trimble) reported that DARPA ""has formally invited bids for a $155 million Vulture II contract to build and test an ultra-long-endurance aircraft. The  near full-scale  flight demonstrator is expected to fly from one and three months, but the goal is to prove whether a future aircraft design could remain aloft more than five years."" The article reported that DARPA ""expects to receive proposals based on solar-powered, heavier-than-air aircraft, but any energy source except nuclear power will be considered, according to DARPA s broad agency announcement released on 22 October."" The agency ""envisions that such a long-endurance aircraft could operate as a recoverable satellite"" which ""could remain on station, relaying communications or collecting intelligence data, for either military users or  national interests. """
,224,"New Scientist (10/13, Marks) reports, ""Virgin Galactic now plans to launch satellites as well as tourists into space, the company confirmed at this week s International Astronautical Congress in Daejeon, South Korea."" The company now has a division ""that will both develop a launch rocket and seek satellite customers for it. Satellite propulsion and launch expert Adam Baker from Surrey Satellite Technology (SSTL) in Guildford, UK, has been hired to run Virgin s satellite venture."" The ""expectation"" is that WhiteKnightTwo will launch satellites in a similar way it will launch SpaceShipTwo with passengers. ""Virgin s stated aim is to reduce the cost of lofting small 50-kilogram satellites into low Earth orbit from about $10 million today to about $1 million."""
,225,"Space News (9/21) reported, ""The first Advanced Extremely High Frequency (AEHF) secure communications satellite, built for the US Air Force by Lockheed Martin Space Systems and slated to launch in 2010, has entered final testing, the Sunnyvale, Calif.-based company announced Sept. 10."" The USAF ""has ordered three AEHF satellites from Lockheed Martin and recently awarded the company a $22 million contract for procurement of long-lead parts for a fourth AEHF spacecraft expected to be under contract by the end of the year. The Air Force intends to buy six AEHF satellites in all."""
,226,"Russia s RIA Novosti(9/19) reported, ""China will assist Pakistan in building a new communications satellite, Chinese media reported Saturday from Islamabad."" The agreement where ""China will grant a $200 million loan to Pakistan for satellite construction was signed in Islamabad on Friday."" The PAKSAT-1R spacecraft ""will be built jointly by China s Great Wall Industry Corporation and Pakistan s Space and Upper Atmospheric Research Commission."""
,227,"The AP (9/9) reports, ""An Atlas 5 rocket has lifted off from Florida carrying a highly classified military satellite."" The United Launch Alliance conducted the launch. Eric Brian, ""a spokesman for the 45th Space Wing at Patrick Air Force Base, declined to say which branch of the military will command the satellite in orbit. Brian says the rocket carried a $500 million payload. The satellite was made by Lockheed Martin."" The Orlando Sentinel (9/9, Block) ""Write Stuff"" blog notes, ""The rocket s cargo is in fact so secret that that no federal agency will admit that the craft is theirs. The mission craft is simply called PAN."""
,228,"Bloomberg News (8/27, Shankar) reports, ""Japan plans to begin building a small rocket in fiscal 2010 to reduce satellite-launch costs to about 3 billion yen ($31.8 million), Nikkei English News reported, without saying where it got the information."""
,229,"Russia s RIA Novosti (8/13) reports, ""Ukraine will launch its own communications satellite in 2011 despite the current political crisis in the country, Prime Minister Yulia Tymoshenko said on Wednesday."" The Lybid is currently being designed by the ""Yuzhnoye design bureau to be launched on the Zenit-3 LV carrier rocket. The development has been slow due to the shortage of funding."" The National Space Agency of Ukraine (NSAU) ""earlier said the Lybid project would be financed by the Canadian MDA company,"" with the agency ""expecting to receive a $254 million loan from MDA in April 2010."""
,230,"Bloomberg News (7/28, Rothwell, Sharif) reported Virgin Galactic ""sold a 32 percent stake to an Abu Dhabi investor, raising $280 million to help fund a test-flight program that will begin later this year."" The money from Aabar Investments ""will help complete the building of the Virgin Galactic spacecraft and finance the testing of the system, Virgin spokesman Nick Fox said in an e-mail."" Aabar has also ""committed $100 million to fund a satellite launch capability and plans to build a spaceport in Abu Dhabi, the statement said. The deal, signed at the Experimental Aircraft Association s AirVenture air show in Oshkosh, Wisconsin, will guarantee the emirate exclusive regional rights to host tourist and scientific flights."""
,231,"Bloomberg News (7/28, Rothwell, Sharif) reported Virgin Galactic ""sold a 32 percent stake to an Abu Dhabi investor, raising $280 million to help fund a test-flight program that will begin later this year."" The money from Aabar Investments ""will help complete the building of the Virgin Galactic spacecraft and finance the testing of the system, Virgin spokesman Nick Fox said in an e-mail."" Aabar has also ""committed $100 million to fund a satellite launch capability and plans to build a spaceport in Abu Dhabi, the statement said. The deal, signed at the Experimental Aircraft Association s AirVenture air show in Oshkosh, Wisconsin, will guarantee the emirate exclusive regional rights to host tourist and scientific flights."""
,232,"Space News (7/23, Brinton, subscription required) reports, ""US Air Force Secretary Michael Donley is urging Congress to boost funding in 2009 and 2010 for an Operationally Responsive Space (ORS) Office reconnaissance satellite that otherwise will fall behind schedule."" Donley wrote to appropriators in both the House and Senate asking July 21 for an addition $28.1 million this year and $23.4 million in 2010. ""The ORS-1 satellite was conceived last year in response to an urgent need for intelligence, surveillance and reconnaissance data from US Central Command and is planned for launch in late 2010. But the ORS Office has warned that the program needs additional funding to stay on schedule."" According to the article, ORS-1 was ""among the top items on the Air Force s list of unfunded priorities for 2010."""
,233,"Space News (7/23, Brinton, subscription required) reports, ""US Air Force Secretary Michael Donley is urging Congress to boost funding in 2009 and 2010 for an Operationally Responsive Space (ORS) Office reconnaissance satellite that otherwise will fall behind schedule."" Donley wrote to appropriators in both the House and Senate asking July 21 for an addition $28.1 million this year and $23.4 million in 2010. ""The ORS-1 satellite was conceived last year in response to an urgent need for intelligence, surveillance and reconnaissance data from US Central Command and is planned for launch in late 2010. But the ORS Office has warned that the program needs additional funding to stay on schedule."" According to the article, ORS-1 was ""among the top items on the Air Force s list of unfunded priorities for 2010."""
,234,"USA Today (7/22, Watson) reports, ""The Obama administration plans to spend an additional $100 million on a weather satellite program that a congressional watchdog agency says has been beset by mismanagement, delays and cost overruns."" The money would be added to the National Polar-orbiting Operational Environmental Satellite System s (NPOESS) 2010 budget, even though it is over budget and behind schedule. ""Both the GAO and an independent review team of former NASA and military officials last month recommended major changes to the satellite program. ... No changes have been made so far, stirring the ire of some in Congress."" David Powner, author of the GAO report, ""says the program needs more money to ensure that the satellites are eventually launched, but the administration needs to decide how the program will be managed."""
,235,"Flight International(7/7, Coppinger) reported, ""Full-scale system tests for a satellite high-power generation system (HPGS) is planned under a $13 million programme of work funded by the US Defense Advanced Research Projects Agency."" The system is ""being developed under DARPA s Fast Access Spacecraft Testbed (Fast) programme. Its goal is to perform ground demonstrations of a 20kW generation system that is scalable to output up to 80kW. It could also power an electric propulsion system enabling a spacecraft deployed to low Earth orbit to reach its final altitude."" This money is for the second phase of the program, ""to include designing, fabricating and integrating test articles for the solar concentration, power conversion, heat rejection, structure and deployment and Sun pointing and tracking subsystems."""
,236,"Space News (7/1, de Selding, subscription required) reported, ""Europe s Eumetsat meteorological satellite organization on July 1 tentatively approved a $90 million contribution to the Jason-3 ocean-altimetry satellite to be built with the United States and France, suggesting that a long intra-European dispute about the program was nearing a resolution."" The agreement still requires ""formal commitment"" from the 24 member nations. ""Funding Jason-3 has been bogged down in protests by some European governments that the program is overly French...and is essentially a US-French bilateral that should not win pan-European support."" Adding the likewise tentative commitments from NOASS, France, ESA, and the European Commission, this ""should permit the program to reach the necessary financing of about 252 million euros."""
,237,"Space News (7/1, de Selding, subscription required) reported, ""Europe s Eumetsat meteorological satellite organization on July 1 tentatively approved a $90 million contribution to the Jason-3 ocean-altimetry satellite to be built with the United States and France, suggesting that a long intra-European dispute about the program was nearing a resolution."" The agreement still requires ""formal commitment"" from the 24 member nations. ""Funding Jason-3 has been bogged down in protests by some European governments that the program is overly French...and is essentially a US-French bilateral that should not win pan-European support."" Adding the likewise tentative commitments from NOASS, France, ESA, and the European Commission, this ""should permit the program to reach the necessary financing of about 252 million euros."""
,238,"The Los Angeles Times (6/13, Johnson) continued reporting on the upcoming launch of the Lunar Reconnaissance Orbiter (LRO) and the Lunar Crater Observation and Sensing Satellite (LCROSS). The article characterized the mission as the ""first small step toward colonizing Earth s tag-along satellite."" According to the article, the two spacecraft aim to ""strip away the last shrouds of mystery"" about whether there is water; ""if it turns up unequivocal proof of water on a purportedly dead world, no one is going to sit on that bombshell."" However the ""biggest uncertainty hanging over the $579-million mission as it prepares for launch at Cape Canaveral in Florida is the question of whether the lunar outpost will ever be built."""
,239,"Space News (6/5, de Selding) reports, ""Satellite fleet operator Satmex said it will open negotiations with its creditors on a restructuring of the company s debt to permit the purchase of a new satellite that Satmex Chief Executive Patricio Northland said could cost between $320 million and $350 million."" Additionally, the company ""hired Perella Weinberg Partners of New York to evaluate alternatives including debt restructuring and a search for new investors to help Satmex pay for the badly needed Satmex 7 satellite."""
,240,"The Salisbury (MD) Daily Times (5/3, Vaughn) reported, ""A 69-foot-tall rocket carrying a $60 million military satellite is set to launch Tuesday evening from the Mid-Atlantic Regional Spaceport, bringing the economic boost of support services and spectators to the area."" The Minotaur I rocket will launch the TacSat-3 satellite as well as NASA s PharmaSat and three CubeSats. Project manager Jack Vieira of the NASA Wallops Flight Facility stated that the pre-flight tests are ""proceeding well."" The launch ""is expected to bring 400 guests to the Wallops area this week to view the event...Vieira...said."" The launch window for the rocket is open until May 9."
,241,"The AP (4/30, Anderson) reports, ""A Korean-American who served prison time for attempting to broker the sale of deadly nerve gas bombs to Iran was indicted Wednesday on new charges of trying to help South Korea obtain advanced Russian rocket hardware and technology."" Yun ""allegedly was trying to help South Korea acquire a rocket propulsion system...through Russian channels. The system was to be used for the Korea Satellite Launch Vehicle 2, according to court documents."" If convicted of all six charges against him, he could be sentenced to ""up to 60 years in prison and $6 million."""
,242,"The AP (4/23, Borak) reports, ""Northrop Grumman Corp. on Wednesday said its first-quarter profit rose almost 50 percent, boosted by higher sales of military products like aerial drones and a larger contract for a satellite-based tracking system."" The company also raised its outlook for 2009. The AP described Northrop as ""largely insulated from the recession,"" compared to other companies especially to ""rival"" Lockheed Martin who reported a loss in profit on Tuesday. ""Northrop said revenue rose almost 8 percent to $8.32 billion led by gains in electronics and technical services."" Sales from the company s aerospace and ""four business segments"" also rose in the quarter. CEO Ronald Sugar said, ""Northrop Grumman is off to a solid start in 2009."""
,243,"The Centre (PA) Daily Times (4/1) reported that two weeks ago, two Penns Valley Area High School students ""headed to San Antonio to present a five-minute video to almost 30 NASA representatives"" on ""the connection between Penns Valley students and a potential $105 million project to examine the far reaches of the universe."" The school was selected last year as a Small Explorer Program finalist. ""Two missions, to be launched by 2015, will be chosen to receive...funding."" The video on the Joint Astrophysics Nascent Universe Satellite program ""shows students launching a mini-rocket. Sixth-grade teacher Steve Fleagle references Newton s First Law of Motion, when explaining how rockets stay on course in space. Eighth-grade teacher Mike Stitzer discusses alpha, beta and gamma radiation."""
,244,"Spaceflight Now (3/20, Clark) reported, ""Climate scientists are making the case to NASA for a new satellite to replace a $273 million carbon dioxide monitoring mission lost in a launch failure last month."" Principle investigator David Crisp for the Orbiting Carbon Observatory (OCO) said a request was sent for a ""carbon copy"" of the original that could be ""returning data"" by 2012. ""The cost and schedule of a replacement mission would be significantly reduced due to lessons learned in OCO s design and construction."" Crisp ""said scientists are studying other options to fly an OCO-like instrument on other research satellites, operational weather observatories, or the international space station."""
,245,"Spaceflight Now (3/15, Clark) reported, ""Engineers are busy prepping a modified Russian ballistic missile for launch Monday with a $450 million European probe that will measure the tug of Earth s gravity with finer detail than ever before."" The GOCE satellite is being prepared for its launch on a Rockot launcher. ""Technicians loaded the Rockot with...propellants this weekend. Workers also completed a series of electrical checks on the 95-foot-tall booster, verifying it is ready for the final countdown on Monday."" The UK s Daily Mirror(3/16) and Russia s RIA Novosti (3/16) also covers the story."
,246,"Canada s Ottawa Citizen (2/26) reported, ""While NASA lost a $285-million US satellite this week, a Canadian microsatellite that does the same job is chugging along happily in orbit -- at one-1,000th the cost."" According to the article, the CanX-2 satellite with its Argus instrument is making similar measurements as the Orbiting Carbon Observatory (OCO) would have if it successfully launched. Ben Quine of York University, which made the instrument, said, ""Argus is the lowest-possible-cost approach to making this measurement. NASA was probably the highest-possible-cost approach... so the instruments are not going to be exactly commensurate."" The instrument ""began sending a stream of data in December,"" while the satellite is "" functioning really well  after some glitches that followed its launch last April, said...Quine."""
,247,"Aviation Week (2/25, Morring) reported, ""The fiscal 2010 NASA budget outline to be released by the Obama Administration Feb. 26 adds almost $700 million to the out-year figure proposed in the fiscal 2009 budget request submitted by former President Bush, and sticks with the goal of returning humans to the moon by 2020."" The article noted that this does not include the money from the recently passed stimulus. ""Aviation Week has learned that in addition to the human-lunar return, Obama wants to continue robotic exploration...as well as a space telescope to probe deeper into the universe."" Obama will also ""ask for additional funds for the NextGen satellite-based air traffic control modernization effort within NASA s aeronautics request."""
,248,"ABC World News (2/24, story 11, 0:20, Gibson) notes that the ""$280 million mission...had taken nine years of work to create,"" which the AP (2/25, Borenstein) calls a ""major setback to NASA s already weak network for monitoring Earth and its environment from above."" Neal Lane, science advisor to former President Clinton, said the program was now ""really weak."" Other scientists also were disappointed by the loss of the Orbiting Carbon Observatory (OCO). The AP notes, ""Tuesday s failure put on hold the launch of another NASA satellite, Glory. ... That satellite will launch on the same kind of rocket, the Taurus XL."" NASA s ""science chief"" Ed Weiler ""said a decision will be made over the next several weeks"" about whether to use $400 million from the Federal stimulus to build a duplicate replacement satellite or to accelerate a ""more sophisticated and costly follow-up to the failed satellite."""
,249,"India s Business Standard (2/18, Mishra) reports, ""The Indian Space Research Organisation (Isro) is expected to launch a Geosynchronous Satellite Launch Vehicle (GSLV) in July this year, using an indigenously developed cryogenic engine. The flight that is likely to launch the GSAT-4 into orbit will mark the end of India s dependence on Russia."" According to the article, ""Failing in the initial attempt to develop the highly complex cryogenic engine on its own, Isro inked a $120 million contract with Soviet space enterprise Glavkosmos in 1991 for supply of two KVD-1 cryogenic engines. India has so far procured seven Russian-built cryogenic engines."""
,250,"The Wall Street Journal (2/10, Pasztor, subscription required) reports, ""Boeing Co. said it won a long-pending international arbitration case filed by a group of insurance underwriters seeking as much as $365 million for defects on a satellite the company manufactured and sold to a Middle Eastern telecommunications provider,"" Thuraya Satellite Telecommunication. ""The dispute was the first major legal case ever in which insurers targeted any satellite maker to pay damages stemming from chronic satellite problems,"" and the ruling for Boeing ""could make it more difficult for insurers of other satellite operators...to pursue similar claims."" In another case, another insurance claim against Boeing was rejected ""covering a different Boeing satellite model that failed to reach proper orbit."""
,251,"BBC News (11/22, Amos) reported SSTL ""believes its latest satellite design can dramatically reduce the cost of high resolution space imagery,"" with imaging at 60cm/pixel at a cost of $70 million for the ""whole system."" The ""ultra hi-res optical system is the first new product to be detailed by Surrey Satellite Technology Limited since the acquisition"" by EADS Astrium. ""The company believes its new ART (Accuracy, Reach, Timeless) satellite system can deliver sub-one-metre resolution, covering 95% of the Earth s surface every 30 months."""
,252,"Flight International (1/10, Coppinger) reported, ""Continental Airlines, the Port Authority of New York and New Jersey and the US Federal Aviation Administration are to invest more than $6 million for a ground-based augmentation system (GBAS) satellite navigation technology demonstration"" taking place this August at the Newark Liberty International airport. Honeywell Aerospace will provide the ground equipment. ""Honeywell s precision landing system product marketing manager Daniel Ryan says Cat 3 GBAS could be feasible in three years and that Honeywell will have installed GBAS equipment at five US airports by December."""
,253,"Flight International (12/16, Croft) reports, ""NASA is investigating whether falsely certificated titanium could cause a  catastrophic failure  of a mechanical support com­ponent in its $450 million Kepler space photometer, a planet-finding satellite set for launch on a Delta II rocket from the Kennedy Space Center in Florida in March. The action follows a final indictment from the US Attorney s Office in San Diego against San Diego-based Western Titanium and four of its executives. The document claims the group defrauded the US government by falsely certificating titanium parts used for the engine mounts in US Air Force Boeing F-15, Lockheed Martin F-22 and Boeing C-17 aircraft and for spacecraft.  They certified the titanium was tested and met the specific stringent testing requirements, when it did not, causing purchasers to unwittingly place into serviceable stock for use on the aircraft, parts made from substandard and non-conforming titanium,  says the US Attorney s office. One of those unwitting customers was Kepler spacecraft prime contractor Ball Aerospace, which used Western s titanium for the  spider ring , part of the primary spacecraft structure."""
,254,"The AP (11/27, Corder) reported, ""European ministers on Wednesday pledged $12.8 billion (10 billion euros) to an ambitious list of 30 space missions, including one to put a robotic rover on Mars."" Funding for the ExoMars ""fell short"" of the projected cost, but ""missions such as communications satellites and a satellite navigation network to rival the United States  GPS system reached their funding targets."" ESA ministers decided that countries have until the end of 2009 to make up the difference for ExoMars. ""Germany was the single biggest contributor, pledging $3.5 billion to upcoming missions, including a string of experiments at the agency s [ISS] Columbus laboratory."""
,255,"Space News(11/20, Brinton, subscription required) reported, ""Pentagon leaders have directed the U.S. Air Force to quickly acquire a new geosynchronous-orbiting missile warning satellite system that will launch by the end of 2013, according to a memo from the Pentagon s acquisition chief,"" John Young. The system is called the Geosynchronous Earth Orbit Infrared Gap Filler System. ""The new system will be a low-risk solution that uses existing technologies, hardware and ground systems, the memo said. It must provide three years of service at a capability level at least equal to that of the current Defense Support Program missile warning satellites."" In order to pay for the new system, ""the Air Force will request a reprogramming of $117 million appropriated for the service in 2009. The service also is directed to provide an acquisition strategy and source selection plan...by Dec. 19."""
,256,"Aviation Week (11/12, Taverna) reports, ""The European Space Agency has found a solution to a quandary that has prevented approval of funding for the Jason-3 altimetry satellite, which is 46 million euros ($58 million) short."" Planners could apportion the extra cost ""among Eumetsat and the two backers of the Kopernikus (Global Monitoring for Environment Security) initiative -- ESA and the European Commission - with the justification that altimetry will be a critical part of the Kopernikus mission."" The EC and Eumetsat agreed, but ESA ""balked."" However, ""The solution, Director General Jean-Jacques Dordain said last week, will be to provide the amount requested from ESA...through the agency s data-purchasing plan."""
,257,"Space News (11/11, de Selding) reports that the ESA ""is asking its 18 member governments to spend 340 million euros ($433 million) for early development of a restartable upper-stage engine for Europe s Ariane 5 rocket as part of a...3-year spending package to be presented for approval...Dordain said."" The ESA is ""asking that its governments approve a data-relay satellite system that would use a future Inmarsat satellite being developed with ESA funds"" and ""is asking its governments to fund three so-called Sentinel Earth observation satellites as part of the Kopernikus/GMES program."" The ""biggest budget lines to be proposed by ESA relates to the use of the international space station between now and 2012,"" and Dordain ""wants 30 million euros to fund early design work on enhancing the ATV design to enable it to return cargo from the station."""
,258,"New Scientist (9/27, Powell) reported, ""The technology to detect and deflect dangerous space rocks already exists -- all that s missing is someone to coordinate its use,"" according to a recent report from the Association of Space Explorers. ""The report asks the [United Nations (U.N.)] to assume responsibility for responding to potentially catastrophic asteroid threats."" The group recommends that ""a new NEO (near-Earth object) Threat Oversight group"" be created to ""advise the U.N. Security Council about"" the risks of NEOs. ""In the case of a threat, this group would help member states set defenses into motion and, if such information came too late to act, coordinate the evacuations of cities at risk."" According to the report, ""the price tag of the project"" is estimated ""to be around $500 million, half the cost of putting a single geosynchronous satellite into orbit."""
,259,"The Wall Street Journal (9/23, C9, Pasztor, subscription required) reported, ""Satellite-phone provider Iridium Holdings LLC said it has agreed to a reverse merger with a listed affiliate of investment bank Greenhill & Co., intended to give it a roughly $500 million cash infusion to help finance a new satellite system."" The Journal characterizes the agreement as ""one more sign of the troubles roiling the market for many high-tech IPOs."" As there have been ""several years of consolidation involving major satellite operators,"" with ""recent speculation that more moves may be forthcoming,"" the Journal noted that ""the proposed transaction indicates that smaller industry players are still having difficulties raising capital and finding the right partners."""
,260,"Space.com (9/22, de Selding) reported, ""Insurance underwriters and brokers said the [satellite] market remains healthy despite the fact that claims slightly exceeded premiums in 2007."" The underwriters and brokers noted that ""they discriminate among launch vehicles and satellite designs when they can to reflect manufacturers  different success rates."" However, ""the market remains too small to overturn the general principle that the most reliable designs in effect subsidize the insurability of the less reliable hardware."" An executive of International Space Brokers said that ""total market capacity"" of ""more than $600 million"" was ""putting downward pressure on rates."" However, others noted that ""the sector remains so small that a single event may upset it and cause rates to climb."" And according to an official from Flagstone Re, ""any launch whose customers are seeking more than $450 million in total coverage will find it difficult to complete the insurance package."""
,261,"Space.com (9/22, de Selding) reported, ""Insurance underwriters and brokers said the [satellite] market remains healthy despite the fact that claims slightly exceeded premiums in 2007."" The underwriters and brokers noted that ""they discriminate among launch vehicles and satellite designs when they can to reflect manufacturers  different success rates."" However, ""the market remains too small to overturn the general principle that the most reliable designs in effect subsidize the insurability of the less reliable hardware."" An executive of International Space Brokers said that ""total market capacity"" of ""more than $600 million"" was ""putting downward pressure on rates."" However, others noted that ""the sector remains so small that a single event may upset it and cause rates to climb."" And according to an official from Flagstone Re, ""any launch whose customers are seeking more than $450 million in total coverage will find it difficult to complete the insurance package."""
,262,"Popular Mechanics (Sept. 2008, Milstein), discusses the upcoming Lunar Reconnaissance Orbiter (LRO) and Lunar Crater Observation and Sensing Satellite (LCROSS) missions. LCROSS, which will be slammed into the Moon in search of water, is a ""first-of-its-kind spacecraft"" which is being assembled ""at a breakneck pace (30 months) for a bargain price ($79 million)"" at the Ames Research Center in conjunction with Northrop Grumman. ""Since engineering precision hardware would break the budget, the LCROSS team had to make existing components work together. The spacecraft s internal fuel tank is left over from a communications satellite. The avionics are copied from the LRO. The skeleton...is from an Air Force project designed to release multiple satellites from a single rocket."" LCROSS ""last moments will be tracked by the LRO, the Hubble Space Telescope and telescopes on Earth. ... [LCROSS designer Dan] Andrews s team will track its spacecraft from mission control at Ames: Simple tables stacked with personal computers."""
,263,"On the front page of its Business section, the Washington Post (8/14, D1, Goldfarb) reports that satellite company GeoEye disclosed yesterday that ""it will have to restate its accounting for 2005 through 2007, lowering profit for the period by $31 million."" The announcement comes as the company ""plans to launch next month a $500 million satellite powerful enough to snap a picture of home plate at Nationals Park from 423 miles above the planet."" However, GeoEye ""said a delay this year in launching the satellite, known as GeoEye-1,"" has led the National Geospatial-Intelligence Agency (NGA) ""to cut back on its orders."" The Post explains that the GeoEye ""incorrectly accounted for taxes related to payments received"" from the agency, as the NGA had ""agreed to pay for slightly less than half the cost of GeoEye-1 as part of a program to help companies afford big technology outlays that will benefit the government."" Even so, GeoEye officials say the company ""would register $31 million in additional earnings in 2008, wiping out the financial impact of the restatement."""
